id,page,headword,pos,gloss,phonetic,example_nandi,example_english,concern,reviewer_action,corrected_headword,corrected_pos,corrected_gloss,corrected_phonetic,corrected_example_nandi,corrected_example_english,splits_into,reviewer_notes,reviewer_name
p105_kamanaktaet_n,105,kamanaktaet,noun,lending out of cattle,_ka:-mana:k-tae:t ; _ka:-mana:k-ta-6,Kamanaktaet ab tuga.,Lending out of cattle.,CLEAN,,,,,,,,,,
p105_kamanet_n,105,kamanet,noun,assessment,_kaman-e:t ; _kaman-6,,,CLEAN,,,,,,,,,,
p105_kamar_a,105,kamar,adjective,with one hom pointing forward and the other backward,_kamar ; kamar(-e:n),,,CLEAN,,,,,,,,,,
p105_kamartaet_n,105,kamartaet,noun,advertisement,_ka:-ma:r-ta-e:t ; _ka:-ma:r-ta-6,,,CLEAN,,,,,,,,,,
p105_ke_gaman_vt,105,ke-gaman,verb_transitive,"1. to estimate, evaluate, assess to see if s.t. merits its value, examine, investigate. ng'alekyik-i, oger ole ma iman. I assessed his/her words, and I realised that (they) were not the tmth",_ke:-ka:man,"2. to weigh, measure.",Komonwo ingoriono. Measure that cloth for me!.,HAS-GHOSTS,,,,,,,,,,
p106_kamasanet_n,106,kamasanet,noun,side road,_ka:ma:san-e:t ; _ka:ma:san; _ka:ma:san ; _ka:ma:san-ik,Isubi kamasanet anan isubi kibong'bong'it? Osubi kamasanet.,Are you following the small road or the big road? I'm following the small road.,CLEAN,,,,,,,,,,
p106_kamati_n,106,kamati,noun,"sister-in-law, i.e. woman's brother's wife, husband's sister (reciprocal)",_kama:ti ; _kama:t-i:t; _kama:t-i:s-ya ; _kama:t-i:s-yek,,,CLEAN,,,,,,,,,,
p106_kambaget_n,106,kambaget,noun,"1. commotion, drama, nagging demands",_ka:-mpak-e:t ; _ka:- mpak-e:t ; _ka:-mpak,,Moomuchi kambakananyi. can't deal with his/her nagging demands.,CLEAN,,,,,,,,,,
p106_kambakta_n,106,kambakta,noun,"1. feast-day, festival. 2. warriors' dance",_ka:-mpak-ta ; _ka:- mpak,,,CLEAN,,,,,,,,,,
p106_kambaut_n,106,kambaut,noun,"fontanelle, middle of the head where it is soft in an infant (also used of adults)",_ka:mpa-u:t ; _ka:mpau; _ka:mpa-u:n ; ka:mpa-u:n-ik,,,CLEAN,,,,,,,,,,
p106_kamberuk_n,106,kamberuk,noun,chicken pox. kambet n,_ka:mper-u:k ; _ka:mper-u,,,GLOSS-LEAK,,,,,,,,,,
p106_kamet_n,106,kamet,noun,"mother, mother's sister (used in reference, not direct address)",_ka:met ; _ka:met-i:t (used with possessives); _ka:metwa:k,,Kamet ingoro? Which one is the mother?,CLEAN,,,,,,,,,,
p106_kametiat_n,106,kametiat,noun,mother (pej.)(ref). ki-gami v,_ka:met-ya:t ; _ka:metya:; _ka:met-wa:k ; _ka:met-wa:kik,,,GLOSS-LEAK,,,,,,,,,,
p106_kamnyanet_n,106,kamnyanet,noun,wart,_kamnyan-e:t ; _kamnyan; kamnyan-ô:y ; kamnyan-ô:k,Tinyei kamnyanet Toplombui.,Toplombui has a wart.,CLEAN,,,,,,,,,,
p106_kamnyeibait_n,106,kamnyeibait,noun,"temple, location of temporalis muscle on side of head",_ka:m-nyey-pait,,,CLEAN,,,,,,,,,,
p106_kamogom_n,106,kamogom,noun,"plantain field, banana field",_ka:-mok6m,,Kamoiywo prn.,HAS-GHOSTS,,,,,,,,,,
p106_kamuktaet_n,106,kamuktaet,noun,,_ka:-mu:k-ta-e:t ; _ka:-mu:k,,,CLEAN,,,,,,,,,,
p107_kamune_n,107,kamune,noun,squirrel,_ka mu :ne : : _ka:mu:ne:-it; _ka:mu:nai:sya ; _kamu:nai:syek,Kabal bandek kamune.,The squirrel dug the maize.,CLEAN,,,,,,,,,,
p107_kamunyeiyat_n,107,kamunyeiyat,noun,"chicken-louse, mite. kan kei (see kon)",_kamunyey-ya:t ; _kamunyey-ya:; _kamunyey ; _kamunye-e:k,,,CROSS-REF,,,,,,,,,,
p107_kanamet_n,107,kanamet,noun,"beginning, kanamet ab ng'alek the beginning of the lies (lit. words)",_ka:-na:m-et ; _ka:- na:m-a,,,CLEAN,,,,,,,,,,
p107_kaniset_n,107,kaniset,noun,"church, ke-gany v",_kanis-e:t ; _kanisa; _kanis-o:s-ya ; _kanis-o:syek,1. to withstand.,Konyei bek che koitit. (S/he) withstands cold water.,GLOSS-LEAK,,,,,,,,,,
p107_kanyaet_n,107,kanyaet,noun,treatment,_ka:-nya:-et ; _ka:-nya:- 6,,,CLEAN,,,,,,,,,,
p107_kanyitiet_n,107,kanyitiet,noun,"worm, earthworm. U kany it. (S/he's) like a worm (i.e. tiny)",_ka:nyi:t-yet ; _ka:nyi:t; _ka:nyi:t ; _ka:nyi:t-ik,,,CLEAN,,,,,,,,,,
p107_kanyiyet_n,107,kanyiyet,noun,1. bride wealth. 2. cow received as bride wealth. kaotikn,_ka:nyi:y-yet ; _ka:nyi:y;_ka:nyi: ; _ka:nyi:-ik,"sweat, perspiration.",Kotor kei kaotik eng' tokoch. Sweat poured down from (his/her) face.,CLEAN,,,,,,,,,,
p107_kapchebasis_n,107,kapchebasis,noun,twins,_ka:p-ce:p-asi:s ; _ka:p-ce:p-asi:s-i:n(-ik) (nom.) ; _ka:p-ce:p-asi:s-i:n(-ik),Kibotonso kapchebasisinik.,The twins shivered.,HAS-GHOSTS,,,,,,,,,,
p107_ke_ganab_n,107,ke-ganab,noun,"to lift or raise, e.g. a child",_ke:-kanap,,"Kanab lakwet, Jemigok! Jemigok, lift the child!",CLEAN,,,,,,,,,,
p107_ki_gany_v,107,ki-gany,verb,to wait for,_ki:-kany,Igany korok!,Wait a bit.,RECONSTRUCTED,,,,,,,,,,
p108_kapkoima_n,108,kapkoima,noun,"fireplace, hearth",_ka:p-koy-ma,,,CLEAN,,,,,,,,,,
p108_kapkoset_n,108,kapkoset,noun,large black biting ant,_ka:p-kos-e:t ; _ka:pkos; ka:p-kos-ô:y ; ka:p-kos-o:k,,,CLEAN,,,,,,,,,,
p108_kapkulusia_n,108,kapkulusia,noun,"Luyia people, place of Luyia people",_ka:p-kulusya: ; _ka:p-ulusy-e:k;ka:p-kulusya:-i:n ; ka:p-kulusya:-i:n-tet,,Bunu olep kapkulusia. (S/he) is coming from the direction of the Luyia.,CLEAN,,,,,,,,,,
p108_karab_adv,108,karab,adverb,"later, karab koskoleng' later in the (late) afternoon",_kara:p ; _ara:p,,karabetw.,CLEAN,,,,,,,,,,
