rank,nandi_word,frequency_in_examples,headword_id,gloss,recorded,audio_file,notes
154,sing,5,p266_sing'o_a,"[cf singoito eland] 1. fawn-coloured. 2. faded, faint, unclear, sing'oito",,,
155,mas,5,p188_masek_n,"mane, e.g. of Colubus monkey (koroitiet)",,,
156,muny,5,p207_munyat_n,natural sodium carbonate used to flavour tobacco,,,
157,mus,5,p210_musiot_n,corpse,,,
158,nes,5,p219_nesiot_n,charcoal,,,
159,ng'or,5,p226_ng'ortot_a,rough,,,
160,ng'ot,5,p227_ng'otit_n,spear,,,
161,ng'ut,5,p228_ng'utum_a,blunt,,,
162,sut,5,p275_ke_sut_vt,to take away. ke-sut v.itv,,,
163,tel,5,p287_teldet_n,"Ekebergia rueppeliana, forest tree to 80 ft. or more; bark grey; fruit a dryish,",,,
164,tong',5,p298_tong'ony_a,"1. sour-looking, irritable. 2. spooky, creepy, tong'onyit ke-tong'ony-it v.incep",,,
165,oin,5,p322_oin_adv,daybefore yesterday,,,
166,tur,5,p303_turet_n,picking (ofleft-over maize or millet) after the harvest,,,
167,turur,5,p304_tururik_n,dirty water (with mud stirred up from bottom),,,
168,chebioset,4,p056_chebioset_n,"/_ce:p-yô:s-e:t, _ce:pyô:s-a; ce:p-yô:s-ô:y, ce:p-yô:s-",,,
169,ol,4,p239_oldo_n,1. place,,,
170,tie,4,p291_tie_n,/tye/ girls (see chepto). ke-tiech v,,,
171,ara,4,p031_araget_n,"1. cow whose calf has died. 2. empty sword sheath. 3. a jerk (person), ke-aran v",,,
172,son,4,p271_sondit_n,"inside a forest, under the canopy, ke-sonen v",,,
173,et,4,p088_etiet_n,"1. frail, weak",,,
174,atkai,4,p033_atkai_adv,earlier today,,,
175,busit,4,p051_busit_n,cat. ke-but V,,,
176,bar,4,p036_bara_a,"broad, spacious, wide",,,
177,kuterer,4,p158_kuterer_adv,to lie on the back,,,
178,meset,4,p193_meset_n,heap,,,
179,koit,4,p146_koita_n,"stone, koit ab bai stone for grinding millet",,,
180,batai,4,p037_bataiat_n,1. duck. lechi kou batait. (S/he's) waddling like a duck,,,
181,berber,4,p040_berber_a,"foolish, naive",,,
182,ei,4,p085_eiat_n,"stomach contents (of a cow), eiat ab teta stomach contents ofa cow",,,
183,birir,4,p043_birir_a,1. red,,,
184,kasit,4,p110_kasit_n,work (cf boisiet work),,,
185,borowet,4,p047_borowet_n,1. barkrope or vine. lin borowet! Twist the rope until it is taut!,,,
186,koris,4,p150_koristo_n,"coldness, chilly wind",,,
187,bun,4,p048_bunbun_a,"soft, not rigid, not hard",,,
188,chang',4,p056_chang'_a,. many,,,
189,kait,4,p104_kaita_n,"1. (his) wife (sg. only), kainyu my wife",,,
190,kerichek,4,p117_kerichek_n,medicine,,,
191,chepto,4,p071_chepto_n,"girl, daughter",,,
192,chirjir,4,p074_ke_chirjir_vt,"to tread, trample, kechirjir ng'atatek to trample in the mud",,,
193,omitwogik,4,p324_omitwogik_n,food,,,
194,chur,4,p081_churei_n,"/curey, curey-ta/ absolutely true, truth",,,
195,chus,4,p081_ke_chus_vt,"to brave (heavy rain, dense forest, darkness)",,,
196,lu,4,p180_luget_n,"war, raid",,,
197,ri,4,p248_riret_n,cry. ko-riri v,,,
198,oil,4,p239_oiliot_n,"cow that doesn't come into season often, takes a long time to get pregnant; woma",,,
199,indaret,4,p092_indaret_n,"snake, largebodied",,,
200,ing'uny,4,p093_ing'unyut_n,1. world,,,
201,toget,4,p297_toget_n,"face, togenyu my face",,,
202,tomotet,4,p298_tomotet_n,"tobacco, Nicotiana tabacum. tong' ki-tong' v.ven",,,
203,boiyot,4,p053_boiyot_n,"elder, married man. ke-bol V",,,
204,ata,4,p033_ata_adv,how much? Siling' ata? How much is it (how many shillings)?,,,
205,serem,4,p261_serem_n,"space in front of a house, porch",,,
206,suwet,4,p275_suwet_n,"waist, ke-swach v",,,
207,kitigin,4,p143_kitigin_adv,1. a little (quantity). Kitigin kimiet. The food is little,,,
208,muito,4,p205_muito_n,"1. ox-hide, muit ab koi hide to catch ground millet on (hide of (grinding) stone",,,
209,ru,4,p251_rubet_n,hunger(cf iljet),,,
210,ingokiet,4,p095_ingokiet_n,"chicken, arwet ab ingok chick",,,
211,koristo,4,p150_koristo_n,"coldness, chilly wind",,,
212,eito,4,p085_eito_n,ox,,,
213,taritiet,4,p284_taritiet_n,1. bird. 2. penis (colloq.). 3. omen,,,
214,ot,4,p325_ot_n,heart (suit in cards),,,
215,komet,4,p166_komet_n,mother (used to refer to the mother of a child when speaking to it),,,
216,tech,4,p285_ke_tech_vt,"to protect, deflect with shield",,,
217,tia,4,p290_tia_adv,Ijyk'.l how much (of a quantity)? Tia rabinik? How much money is it?,,,
218,mirmir,4,p196_mirmir_a,"1. quick-tempered, easily upset",,,
219,sin,4,p266_sin_a,to be bom with a tiny tail,,,
220,mwait,4,p211_mwaita_n,1. oil. lile kei mwaita! Anoint yourselfwith oil!,,,
